Tiempo [Seg.],Velocidad angular [rad /seg],Corriente en armadura [A],Tensión [V],Torque
0.472,7.49476341056425,0.0560647335880667,2,0
0.473,7.49628992929221,0.0558920754086289,2,0
0.474,7.49780002510108,0.0557212747572124,2,0
0.475,7.49929387467539,0.0555523116497634,2,0
0.476,7.50077165279886,0.0553851663172249,2,0
0.477,7.50223353237479,0.0552198192032235,2,0
0.478,7.50367968444632,0.0550562509617811,2,0
0.479,7.50511027821644,0.0548944424550521,2,0
0.48,7.5065254810678,0.0547343747510834,2,0
0.481,7.50792545858224,0.0545760291215996,2,0
0.482,7.50931037456023,0.0544193870398121,2,0
0.483,7.51068039104001,0.0542644301782511,2,0
0.484,7.51203566831653,0.0541111404066211,2,0
0.485,7.51337636496024,0.05395949978968,2,0
0.486,7.51470263783559,0.0538094905851404,2,0
0.487,7.51601464211945,0.0536610952415937,2,0
0.488,7.51731253131922,0.0535142963964565,2,0
0.489,7.51859645729081,0.0533690768739396,2,0
0.49,7.51986657025639,0.0532254196830377,2,0
0.491,7.52112301882199,0.0530833080155419,2,0
0.492,7.52236594999487,0.0529427252440729,2,0
0.493,7.52359550920072,0.0528036549201356,2,0
0.494,7.52481184030069,0.0526660807721948,2,0
0.495,7.52601508560821,0.0525299867037708,2,0
0.496,7.52720538590564,0.0523953567915569,2,0
0.497,7.52838288046074,0.0522621752835558,2,0
0.498,7.52954770704298,0.0521304265972364,2,0
0.499,7.53070000193965,0.0520000953177113,2,0
0.5,7.53183989997179,0.0518711661959326,2,0
0.501,7.53296753451,0.051743624146908,2,0
0.502,7.53408303749001,0.0516174542479358,2,0
0.503,7.53518653942813,0.051492641736859,2,0
0.504,7.53627816943653,0.0513691720103378,2,0
0.505,7.53735805523834,0.0512470306221411,2,0
0.506,7.53842632318258,0.0511262032814566,2,0
0.507,7.53948309825896,0.0510066758512184,2,0
0.508,7.54052850411251,0.0508884343464527,2,0
0.509,7.54156266305801,0.0507714649326422,2,0
0.51,7.54258569609436,0.0506557539241068,2,0
0.511,7.54359772291867,0.0505412877824027,2,0
0.512,7.54459886194033,0.0504280531147383,2,0
0.513,7.54558923029482,0.0503160366724071,2,0
0.514,7.54656894385741,0.0502052253492377,2,0
0.515,7.54753811725677,0.0500956061800603,2,0
0.516,7.54849686388832,0.0499871663391899,2,0
0.517,7.54944529592754,0.0498798931389252,2,0
0.518,7.55038352434307,0.0497737740280647,2,0
0.519,7.55131165890972,0.0496687965904378,2,0
0.52,7.55222980822128,0.0495649485434522,2,0
0.521,7.55313807970324,0.0494622177366568,2,0
0.522,7.55403657962539,0.0493605921503202,2,0
0.523,7.55492541311419,0.0492600598940241,2,0
0.524,7.55580468416513,0.0491606092052722,2,0
0.525,7.55667449565487,0.049062228448114,2,0
0.526,7.55753494935328,0.0489649061117835,2,0
0.527,7.55838614593533,0.0488686308093522,2,0
0.528,7.55922818499292,0.0487733912763969,2,0
0.529,7.56006116504647,0.0486791763696815,2,0
0.53,7.56088518355649,0.0485859750658538,2,0
0.531,7.56170033693497,0.0484937764601552,2,0
0.532,7.56250672055665,0.0484025697651449,2,0
0.533,7.56330442877021,0.048312344309438,2,0
0.534,7.56409355490926,0.0482230895364568,2,0
0.535,7.56487419130331,0.0481347950031954,2,0
0.536,7.56564642928855,0.0480474503789982,2,0
0.537,7.56641035921852,0.0479610454443513,2,0
0.538,7.56716607047471,0.0478755700896861,2,0
0.539,7.56791365147702,0.0477910143141972,2,0
0.54,7.56865318969407,0.0477073682246719,2,0
0.541,7.56938477165347,0.0476246220343329,2,0
0.542,7.57010848295193,0.0475427660616928,2,0
0.543,7.57082440826527,0.047461790729422,2,0
0.544,7.57153263135833,0.0473816865632277,2,0
0.545,7.57223323509477,0.0473024441907451,2,0
0.546,7.5729263014468,0.0472240543404415,2,0
0.547,7.5736119115047,0.0471465078405312,2,0
0.548,7.57429014548636,0.0470697956179023,2,0
0.549,7.57496108274666,0.0469939086970551,2,0
0.55,7.57562480178674,0.0469188381990521,2,0
0.551,7.5762813802632,0.046844575340479,2,0
0.552,7.57693089499717,0.0467711114324173,2,0
0.553,7.57757342198331,0.0466984378794273,2,0
0.554,7.57820903639869,0.0466265461785426,2,0
0.555,7.57883781261162,0.0465554279182753,2,0
0.556,7.5794598241903,0.0464850747776316,2,0
0.557,7.58007514391145,0.0464154785251387,2,0
0.558,7.58068384376884,0.0463466310178811,2,0
0.559,7.58128599498171,0.0462785242005482,2,0
0.56,7.58188166800308,0.0462111501044918,2,0
0.561,7.582470932528,0.0461445008467938,2,0
0.562,7.58305385750174,0.0460785686293436,2,0
0.563,7.58363051112779,0.0460133457379261,2,0
0.564,7.58420096087591,0.0459488245413187,2,0
0.565,7.58476527348998,0.0458849974903989,2,0
0.566,7.58532351499583,0.0458218571172605,2,0
0.567,7.58587575070894,0.0457593960343404,2,0
0.568,7.58642204524211,0.0456976069335536,2,0
0.569,7.58696246251302,0.0456364825854389,2,0
0.57,7.58749706575167,0.0455760158383123,2,0
0.571,7.58802591750784,0.0455161996174308,2,0
0.572,7.58854907965833,0.0454570269241643,2,0
0.573,7.58906661341428,0.0453984908351768,2,0
0.574,7.58957857932829,0.0453405845016166,2,0
0.575,7.5900850373015,0.0452833011483145,2,0
0.576,7.59058604659061,0.0452266340729916,2,0
0.577,7.59108166581482,0.0451705766454749,2,0
0.578,7.59157195296266,0.0451151223069212,2,0
0.579,7.59205696539883,0.0450602645690506,2,0
0.58,7.59253675987084,0.0450059970133863,2,0
0.581,7.59301139251572,0.0449523132905043,2,0
0.582,7.59348091886652,0.0448992071192905,2,0
0.583,7.59394539385888,0.0448466722862053,2,0
0.584,7.59440487183739,0.0447947026445572,2,0
0.585,7.59485940656199,0.0447432921137831,2,0
0.586,7.59530905121425,0.0446924346787374,2,0
0.587,7.59575385840359,0.0446421243889877,2,0
0.588,7.59619388017343,0.0445923553581188,2,0
0.589,7.59662916800729,0.0445431217630442,2,0
0.59,7.59705977283481,0.0444944178433243,2,0
0.591,7.59748574503772,0.0444462379004928,2,0
0.592,7.59790713445568,0.0443985762973901,2,0
0.593,7.59832399039221,0.044351427457503,2,0
0.594,7.59873636162037,0.0443047858643131,2,0
0.595,7.5991442963885,0.0442586460606509,2,0
0.596,7.59954784242587,0.0442130026480574,2,0
0.597,7.59994704694827,0.0441678502861524,2,0
0.598,7.60034195666349,0.0441231836920096,2,0
0.599,7.60073261777686,0.0440789976395389,2,0
0.6,7.60111907599658,0.0440352869588745,2,0
0.601,7.60150137653913,0.04399204653577,2,0
0.602,7.6018795641345,0.0439492713110003,2,0
0.603,7.60225368303149,0.0439069562797697,2,0
0.604,7.60262377700284,0.0438650964911258,2,0
0.605,7.60298988935035,0.0438236870473809,2,0
0.606,7.60335206290998,0.0437827231035384,2,0
0.607,7.60371034005684,0.0437421998667266,2,0
0.608,7.60406476271014,0.0437021125956368,2,0
0.609,7.60441537233813,0.04366245659997,2,0
0.61,7.6047622099629,0.0436232272398869,2,0
0.611,7.60510531616521,0.0435844199254657,2,0
